tournament,court,surface,round_imp,best_of,player0,player1,rank0,rank1,winner
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Dosedel S.","Ljubicic I.",63,77,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Enqvist T.","Clement A.",5,56,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Escude N.","Baccanello P.",40,655,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Federer R.","Knippschild J.",65,87,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Fromberg R.","Woodbridge T.",81,198,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Gambill J.M.","Arthurs W.",58,105,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Grosjean S.","Ilie A.",26,51,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Henman T.","Balcells J.",11,218,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Hewitt L.","Woodforde M.",24,129,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Lisnard J.","Tebbutt M.",134,351,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Martin A.","Spadea V.",55,21,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Norman M.","Draper S.",15,155,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Petrovic D.","Huet S.",208,122,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Sekulov J.","Pozzi G.",142,79,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Stoltenberg J.","Hrbaty D.",84,20,0
"Australian Hardcourt Championships",Outdoor,Hard,7,3,"Vinck C.","Goldstein P.",227,88,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Enqvist T.","Federer R.",5,65,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Escude N.","Dosedel S.",40,63,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Grosjean S.","Gambill J.M.",26,58,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Henman T.","Lisnard J.",11,134,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Hewitt L.","Petrovic D.",24,208,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Martin A.","Sekulov J.",55,142,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Norman M.","Fromberg R.",15,81,0
"Australian Hardcourt Championships",Outdoor,Hard,6,3,"Stoltenberg J.","Vinck C.",84,227,0
"Australian Hardcourt Championships",Outdoor,Hard,3,3,"Enqvist T.","Grosjean S.",5,26,0
"Australian Hardcourt Championships",Outdoor,Hard,3,3,"Escude N.","Henman T.",40,11,0
"Australian Hardcourt Championships",Outdoor,Hard,3,3,"Hewitt L.","Stoltenberg J.",24,84,0
"Australian Hardcourt Championships",Outdoor,Hard,3,3,"Norman M.","Martin A.",15,55,0
"Australian Hardcourt Championships",Outdoor,Hard,2,3,"Enqvist T.","Norman M.",5,15,0
"Australian Hardcourt Championships",Outdoor,Hard,2,3,"Hewitt L.","Escude N.",24,40,0
"Australian Hardcourt Championships",Outdoor,Hard,1,3,"Hewitt L.","Enqvist T.",24,5,0
"Gold Flake Open",Outdoor,Hard,7,3,"Agenor R.","Kumar S.",94,1198,0
"Gold Flake Open",Outdoor,Hard,7,3,"Behrend T.","Popp A.",116,124,0
"Gold Flake Open",Outdoor,Hard,7,3,"Damm M.","Rochus C.",104,120,0
"Gold Flake Open",Outdoor,Hard,7,3,"Delgado J.","Black B.",162,67,0
"Gold Flake Open",Outdoor,Hard,7,3,"Golmard J.","Spottl M.",38,200,0
"Gold Flake Open",Outdoor,Hard,7,3,"Hantschk M.","Tieleman L.",128,89,0
"Gold Flake Open",Outdoor,Hard,7,3,"Jonsson F.","Kroslak J.",127,103,0
"Gold Flake Open",Outdoor,Hard,7,3,"Ketola T.","Ogorodov O.",163,135,0
"Gold Flake Open",Outdoor,Hard,7,3,"Manta L.","Zib T.",117,115,0
"Gold Flake Open",Outdoor,Hard,7,3,"Paes L.","Boutter J.",145,137,0
"Gold Flake Open",Outdoor,Hard,7,3,"Pioline C.","Ram A.",14,414,0
"Gold Flake Open",Outdoor,Hard,7,3,"Sanguinetti D.","Voinea A.",121,100,0
"Gold Flake Open",Outdoor,Hard,7,3,"Stanoytchev O.","Kilderry P.",111,342,0
"Gold Flake Open",Outdoor,Hard,7,3,"Tabara M.","Kafelnikov Y.",125,2,0
"Gold Flake Open",Outdoor,Hard,7,3,"Vanek J.","Ishii Y.",160,238,0
"Gold Flake Open",Outdoor,Hard,7,3,"Vinciguerra A.","Lopez-Moron A.",99,113,0
"Gold Flake Open",Outdoor,Hard,6,3,"Damm M.","Agenor R.",104,94,0
"Gold Flake Open",Outdoor,Hard,6,3,"Delgado J.","Stanoytchev O.",162,111,0
"Gold Flake Open",Outdoor,Hard,6,3,"Golmard J.","Jonsson F.",38,127,0
"Gold Flake Open",Outdoor,Hard,6,3,"Hantschk M.","Behrend T.",128,116,0
"Gold Flake Open",Outdoor,Hard,6,3,"Ketola T.","Vanek J.",163,160,0
"Gold Flake Open",Outdoor,Hard,6,3,"Manta L.","Tabara M.",117,125,0
"Gold Flake Open",Outdoor,Hard,6,3,"Pioline C.","Paes L.",14,145,0
"Gold Flake Open",Outdoor,Hard,6,3,"Sanguinetti D.","Vinciguerra A.",121,99,0
"Gold Flake Open",Outdoor,Hard,3,3,"Damm M.","Manta L.",104,117,0
"Gold Flake Open",Outdoor,Hard,3,3,"Golmard J.","Delgado J.",38,162,0
"Gold Flake Open",Outdoor,Hard,3,3,"Hantschk M.","Ketola T.",128,163,0
"Gold Flake Open",Outdoor,Hard,3,3,"Pioline C.","Sanguinetti D.",14,121,0
"Gold Flake Open",Outdoor,Hard,2,3,"Golmard J.","Damm M.",38,104,0
"Gold Flake Open",Outdoor,Hard,2,3,"Hantschk M.","Pioline C.",128,14,0
"Gold Flake Open",Outdoor,Hard,1,3,"Golmard J.","Hantschk M.",38,128,0
"Qatar Open",Outdoor,Hard,7,3,"Bastl G.","Novak J.",85,36,0
