tourney_id,court,surface,round,best_of,player0,player1,winner
2009046,Outdoor,Hard,5,3,45,2,1
2009046,Outdoor,Hard,5,3,22,1,1
2009046,Outdoor,Hard,5,3,9,7,1
2009046,Outdoor,Hard,3,3,8,3,1
2009046,Outdoor,Hard,3,3,1,7,1
2009046,Outdoor,Hard,3,3,4,5,1
2009046,Outdoor,Hard,3,3,2,6,1
2009046,Outdoor,Hard,2,3,7,3,1
2009046,Outdoor,Hard,2,3,5,6,1
2009046,Outdoor,Hard,1,3,6,3,1
2009047,Outdoor,Hard,7,3,49,47,1
2009047,Outdoor,Hard,7,3,46,31,1
2009047,Outdoor,Hard,7,3,130,27,1
2009047,Outdoor,Hard,7,3,85,9,1
2009047,Outdoor,Hard,7,3,34,33,1
2009047,Outdoor,Hard,7,3,56,54,1
2009047,Outdoor,Hard,7,3,13,29,1
2009047,Outdoor,Hard,7,3,135,51,1
2009047,Outdoor,Hard,7,3,20,19,1
2009047,Outdoor,Hard,7,3,25,15,1
2009047,Outdoor,Hard,7,3,16,35,1
2009047,Outdoor,Hard,7,3,70,61,1
2009047,Outdoor,Hard,7,3,30,17,1
2009047,Outdoor,Hard,7,3,74,26,1
2009047,Outdoor,Hard,7,3,28,64,1
2009047,Outdoor,Hard,7,3,36,37,1
2009047,Outdoor,Hard,7,3,10,53,1
2009047,Outdoor,Hard,7,3,72,45,1
2009047,Outdoor,Hard,7,3,11,42,1
2009047,Outdoor,Hard,7,3,23,124,1
2009047,Outdoor,Hard,7,3,12,18,1
2009047,Outdoor,Hard,7,3,24,43,1
2009047,Outdoor,Hard,7,3,71,39,1
2009047,Outdoor,Hard,7,3,21,59,1
2009047,Outdoor,Hard,6,3,27,9,1
2009047,Outdoor,Hard,6,3,15,19,1
2009047,Outdoor,Hard,6,3,54,4,1
2009047,Outdoor,Hard,6,3,7,124,1
2009047,Outdoor,Hard,6,3,64,53,1
2009047,Outdoor,Hard,6,3,29,31,1
2009047,Outdoor,Hard,6,3,61,17,1
2009047,Outdoor,Hard,6,3,51,1,1
2009047,Outdoor,Hard,6,3,39,18,1
2009047,Outdoor,Hard,6,3,37,55,1
2009047,Outdoor,Hard,6,3,33,2,1
2009047,Outdoor,Hard,6,3,43,8,1
2009047,Outdoor,Hard,6,3,59,35,1
2009047,Outdoor,Hard,6,3,45,3,1
2009047,Outdoor,Hard,6,3,47,42,1
2009047,Outdoor,Hard,6,3,5,26,1
2009047,Outdoor,Hard,5,3,19,1,1
2009047,Outdoor,Hard,5,3,53,55,1
2009047,Outdoor,Hard,5,3,17,2,1
2009047,Outdoor,Hard,5,3,35,4,1
2009047,Outdoor,Hard,5,3,26,42,1
2009047,Outdoor,Hard,5,3,8,9,1
2009047,Outdoor,Hard,5,3,31,3,1
2009047,Outdoor,Hard,5,3,124,18,1
2009047,Outdoor,Hard,3,3,55,2,1
2009047,Outdoor,Hard,3,3,42,1,1
2009047,Outdoor,Hard,3,3,9,4,1
2009047,Outdoor,Hard,3,3,18,3,1
2009047,Outdoor,Hard,2,3,2,1,1
2009047,Outdoor,Hard,2,3,3,4,1
2009047,Outdoor,Hard,1,3,4,1,1
2009048,Outdoor,Hard,7,3,50,196,1
2009048,Outdoor,Hard,7,3,97,60,1
2009048,Outdoor,Hard,7,3,54,88,1
2009048,Outdoor,Hard,7,3,73,63,1
2009048,Outdoor,Hard,7,3,107,65,1
2009048,Outdoor,Hard,7,3,51,81,1
2009048,Outdoor,Hard,7,3,72,67,1
2009048,Outdoor,Hard,7,3,74,100,1
2009048,Outdoor,Hard,7,3,53,92,1
2009048,Outdoor,Hard,7,3,45,85,1
2009048,Outdoor,Hard,7,3,56,69,1
2009048,Outdoor,Hard,7,3,315,77,1
2009048,Outdoor,Hard,7,3,79,52,1
2009048,Outdoor,Hard,7,3,49,71,1
2009048,Outdoor,Hard,7,3,109,110,1
