location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,tourney_id,wpts,lpts
Montreal,Rogers Masters,2009-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Nadal R.,Petzschner P.,2,45.0,6,3,6,2,0,0,0,0,0,0,,,2009-046,9285.0,1040.0
Montreal,Rogers Masters,2009-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Wawrinka S.,1,22.0,6,3,7,6,0,0,0,0,0,0,,,2009-046,11060.0,1795.0
Montreal,Rogers Masters,2009-08-13,Masters 1000,Outdoor,Hard,3rd Round,3,Tsonga J.W.,Simon G.,7,9.0,6,3,6,3,0,0,0,0,0,0,,,2009-046,3650.0,3330.0
Montreal,Rogers Masters,2009-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Murray A.,Davydenko N.,3,8.0,6,2,6,4,0,0,0,0,0,0,,,2009-046,8260.0,3525.0
Montreal,Rogers Masters,2009-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,Federer R.,7,1.0,7,6,1,6,7,6,0,0,0,0,,,2009-046,3650.0,11060.0
Montreal,Rogers Masters,2009-08-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Roddick A.,Djokovic N.,5,4.0,6,4,7,6,0,0,0,0,0,0,,,2009-046,5530.0,7380.0
Montreal,Rogers Masters,2009-08-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Nadal R.,6,2.0,7,6,6,1,0,0,0,0,0,0,,,2009-046,5155.0,9285.0
Montreal,Rogers Masters,2009-08-15,Masters 1000,Outdoor,Hard,Semifinals,3,Murray A.,Tsonga J.W.,3,7.0,6,4,7,6,0,0,0,0,0,0,,,2009-046,8260.0,3650.0
Montreal,Rogers Masters,2009-08-15,Masters 1000,Outdoor,Hard,Semifinals,3,Del Potro J.M.,Roddick A.,6,5.0,4,6,6,2,7,5,0,0,0,0,,,2009-046,5155.0,5530.0
Montreal,Rogers Masters,2009-08-16,Masters 1000,Outdoor,Hard,The Final,3,Murray A.,Del Potro J.M.,3,6.0,6,7,7,6,6,1,0,0,0,0,,,2009-046,8260.0,5155.0
