court,round,best_of,player0,player1,winner
Outdoor,7,3,63,77,player0
Outdoor,7,3,5,56,player0
Outdoor,7,3,40,655,player0
Outdoor,7,3,65,87,player0
Outdoor,7,3,81,198,player0
Outdoor,7,3,58,105,player0
Outdoor,7,3,26,51,player0
Outdoor,7,3,11,218,player0
Outdoor,7,3,24,129,player0
Outdoor,7,3,134,351,player0
Outdoor,7,3,55,21,player0
Outdoor,7,3,15,155,player0
Outdoor,7,3,208,122,player0
Outdoor,7,3,142,79,player0
Outdoor,7,3,84,20,player0
Outdoor,7,3,227,88,player0
Outdoor,6,3,5,65,player0
Outdoor,6,3,40,63,player0
Outdoor,6,3,26,58,player0
Outdoor,6,3,11,134,player0
Outdoor,6,3,24,208,player0
Outdoor,6,3,55,142,player0
Outdoor,6,3,15,81,player0
Outdoor,6,3,84,227,player0
Outdoor,3,3,5,26,player0
Outdoor,3,3,40,11,player0
Outdoor,3,3,24,84,player0
Outdoor,3,3,15,55,player0
Outdoor,2,3,5,15,player0
Outdoor,2,3,24,40,player0
Outdoor,1,3,24,5,player0
Outdoor,7,3,94,1198,player0
Outdoor,7,3,116,124,player0
Outdoor,7,3,104,120,player0
Outdoor,7,3,162,67,player0
Outdoor,7,3,38,200,player0
Outdoor,7,3,128,89,player0
Outdoor,7,3,127,103,player0
Outdoor,7,3,163,135,player0
Outdoor,7,3,117,115,player0
Outdoor,7,3,145,137,player0
Outdoor,7,3,14,414,player0
Outdoor,7,3,121,100,player0
Outdoor,7,3,111,342,player0
Outdoor,7,3,125,2,player0
Outdoor,7,3,160,238,player0
Outdoor,7,3,99,113,player0
Outdoor,6,3,104,94,player0
Outdoor,6,3,162,111,player0
Outdoor,6,3,38,127,player0
Outdoor,6,3,128,116,player0
Outdoor,6,3,163,160,player0
Outdoor,6,3,117,125,player0
Outdoor,6,3,14,145,player0
Outdoor,6,3,121,99,player0
Outdoor,3,3,104,117,player0
Outdoor,3,3,38,162,player0
Outdoor,3,3,128,163,player0
Outdoor,3,3,14,121,player0
Outdoor,2,3,38,104,player0
Outdoor,2,3,128,14,player0
Outdoor,1,3,38,128,player0
Outdoor,7,3,85,36,player0
Outdoor,7,3,60,?,player0
Outdoor,7,3,211,219,player0
Outdoor,7,3,206,35,player0
Outdoor,7,3,33,78,player0
Outdoor,7,3,73,174,player0
Outdoor,7,3,6,59,player0
Outdoor,7,3,71,25,player0
Outdoor,7,3,74,101,player0
Outdoor,7,3,32,138,player0
Outdoor,7,3,44,86,player0
Outdoor,7,3,47,285,player0
Outdoor,7,3,49,93,player0
Outdoor,7,3,83,62,player0
Outdoor,7,3,39,50,player0
