location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,tourney_id,wpts,lpts
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,63,77,6,4,6,2,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Enqvist T.,Clement A.,5,56,6,3,6,3,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,40,655,6,7,7,5,6,3,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Federer R.,Knippschild J.,65,87,6,1,6,4,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,81,198,7,6,5,7,6,4,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Arthurs W.,58,105,3,6,7,6,6,4,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,26,51,6,2,6,1,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Henman T.,Balcells J.,11,218,6,4,7,6,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,24,129,6,3,2,6,6,1,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Lisnard J.,Tebbutt M.,134,351,7,6,6,7,6,4,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,55,21,6,2,6,2,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Norman M.,Draper S.,15,155,6,4,6,4,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,208,122,3,6,6,3,6,3,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Sekulov J.,Pozzi G.,142,79,6,4,2,6,6,2,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,84,20,6,3,6,1,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Vinck C.,Goldstein P.,227,88,3,6,6,3,6,4,0,0,0,0,2.0,1.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,5,65,7,6,6,4,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Escude N.,Dosedel S.,40,63,7,6,6,4,0,0,0,0,0,0,2.0,0.0,2000-001,,
Adelaide,Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,26,58,3,6,7,6,6,2,0,0,0,0,2.0,1.0,2000-001,,
